title,appId,cluster,cluster_size,facebook_bart-large-mnli,roberta-large-mnli,distilbert-base-uncased-finetuned-sst-2-english,valhalla_distilbart-mnli-12-9
Mobile Weed Manual,io.mesur.manual.prd,3,142,0.6304367184638977,0.5813789963722229,0.0026491880416870117,0.509586751461029
Миллионер викторина PRO,com.pradi.milli.full,3,142,0.7372355461120605,0.550369381904602,0.096671462059021,0.5357915759086609
Fish Fingers! 3D Interactive Aquarium FREE,com.uselesscreations.fishfingerslite,3,142,0.7424015402793884,0.5693333745002747,0.002812802791595459,0.5810405611991882
Fish Fingers! 3D Interactive Aquarium,com.uselesscreations.fishfingers,3,142,0.7161611914634705,0.5169190764427185,0.007678806781768799,0.49061325192451477
Potbelly Sandwich Works,com.potbelly.mobile,3,142,0.6700493097305298,0.7001287937164307,0.007387816905975342,0.7355193495750427
Likewise Cannabis,com.likewisedispensary.wallet,4,92,0.9496407508850098,0.9951863288879395,0.22506743669509888,0.9863388538360596
Ganja Firm Weed Dictator - be a farm shop tycoon boss & run a munchie garden,com.dictator.weed,4,92,0.9400818943977356,0.9769418835639954,0.022634267807006836,0.9689748287200928
Crab and Shrimp Pot Tracker,com.scottstgeorge.pottracker,4,92,0.7412165999412537,0.8732390999794006,0.21690672636032104,0.725281298160553
Reefers. Support Deck CES Test,com.cmateapp.ctest51,4,92,0.8968692421913147,0.9118407964706421,0.5186659097671509,0.8691242933273315
Eaze: Cannabis Delivery,com.eaze.consumer,4,92,0.9720807671546936,0.9425473809242249,0.0978238582611084,0.966439425945282
CannVerify,org.reactjs.native.cannverifyqr,4,92,0.9729654788970947,0.9923352003097534,0.08429038524627686,0.9858807325363159
VIVOSUN,com.vivosun.ios,4,92,0.9409032464027405,0.5690855979919434,0.054034650325775146,0.9472030401229858
Reef Guardian,com.flyingsaci.reefguardian,4,92,0.9502412676811218,0.8656954169273376,0.04528230428695679,0.9272146821022034
Leafythings: Find Cannabis,com.leafythings,4,92,0.9870875477790833,0.9493990540504456,0.00847238302230835,0.9781085252761841
CannaMaps,com.hegemonicmafia.CannaMaps,4,92,0.9866371154785156,0.9775121212005615,0.01486426591873169,0.9866050481796265
MELT On Demand,com.meltmethod.player,5,559,0.4392333924770355,0.5451019406318665,0.8751646280288696,0.39816299080848694
Rec Room: Play with Friends,com.AgainstGravity.RecRoomBeta,5,559,0.631384551525116,0.5465027689933777,0.9995867609977722,0.42056718468666077
Potty Toilet Training,com.appfrancois.PottyTime,5,559,0.6301352381706238,0.5190137028694153,0.9963994026184082,0.45878466963768005
ReefCast Marine Weather,com.saltwatercentral.ReefCast,5,559,0.5201054811477661,0.4926081597805023,0.9883600473403931,0.4535059332847595
AI Chat 4.0: Genius,com.alloy.genius,5,559,0.6964789032936096,0.5272931456565857,0.9930353760719299,0.35667523741722107
iHerb: Vitamins & Supplements,iHerb.iHerb,5,559,0.4394828677177429,0.6535040736198425,0.9406440258026123,0.4749613404273987
Plant Identifier: Snap scanner,com.krivtsova.plants,5,559,0.39867016673088074,0.5279243588447571,0.9815139174461365,0.40921369194984436
Stir: Single Parent Dating App,com.match.stir,5,559,0.507782518863678,0.527454137802124,0.9598002433776855,0.5773525238037109
Mammotion,com.agilexrobotics,5,559,0.4568829834461212,0.5330570936203003,0.9775806665420532,0.37948256731033325
Kaia Health,com.kaia-health.meteor,5,559,0.4046836197376251,0.5373300313949585,0.9937228560447693,0.5924459099769592
